,responce,question
49673,@130070 We see your DM and will reply to you there.,@AmericanAir @130070 WHATS the deal AA??? So unfair I can scream! Bait &amp; Switch fares AS I'M MAKING FLT ARRANGEMENTS?? Are you for real???
49675,"@130071 You're keeping us on our toes, Andrew! Always great to see you.","mci -&gt; ord

on @AmericanAir"
49677,"@130072 We're here to help, Leslie. What's going on?",What’s the best comp motto? 1. Friends don’t let friends fly @AmericanAir OR 2. At @AmericanAir the customer is always wrong? #AmeriAirSux
49681,"@130074 We've the best crews in the biz, Ahmed! We always want everyone to feel special. #AATeam","Flight #AA1473 best #captain &amp; #crew, hands down. Flight Captain even acknowledged the 2 first time fliers! 💯 @AmericanAir"
49683,@130075 Please follow and DM us with your mom's Customer Relations file number so we can take a closer look.,Pls share. This is my mom. A flight attendant on American Airlines spilling hot coffee on my moms legs causing second degree burns. https://t.co/HpQiFexirD
50643,@130335 Boarding passes aren't issued until you check-in 24 hrs. of your flight.,"@AmericanAir WEEKS later, we still can't get boarding passes on your website."
51450,@130557 We always want you to enjoy your time in our Admirals Clubs. Thanks for your feedback on this.,@AmericanAir - why is the new YYZ lounge to do small? #goingformediocre
52372,@130794 We don't anticipate any cancellations at this time. You can sign up for notifications here: https://t.co/h88H9iXqqT,Hey @AmericanAir when will we know if our flights are confirmed after this scheduling glitch?
52375,@130795 We'll pass along your kudos to Thomas!,@AmericanAir Someone tell Thomas at the AAvantage desk a special thank you from my family.  He made it right without hesitation the 1st time I called late last night. Thomas save a customer today and the rest was an added bonus.
52377,"@130795 We love taking great care of you, Kyle! Hope to see you again soon.","@AmericanAir you guys met me at the gate and treated me like VIP, upgraded our seats and gave us vouchers. Well done AA. Great response and thank you. Way above what I thought and very happy."
53777,@131152 We're doing everything we can to avoid cancellations. You can sign up for notifications here: https://t.co/h88H9iXqqT,@AmericanAir When will the list of affected flights be announced?
53779,@131153 We're working hard to get you on your way. Let us now if you need any help getting rebooked.,It would be really nice if @AmericanAir  could not have a replay of yesterday's mechanical malfunction and maybe....idk... Get me home.... Today? Kthx
53781,@131154 We're doing everything we can to avoid cancellations. You can sign up for notifications here: https://t.co/h88H9iXqqT,@AmericanAir When will we know if this flight is cancelled or not due to the shortage of crew for flights?
53783,"@131154 If a flight of yours is cancelled and you don't rebook with us, we'll refund the unflown segments.","@AmericanAir If my December 18th flight from Dallas to San Francisco is cancelled, will you be comping the fees to switch to another airline on that date?"
54795,@131448 Happy Holidays!,@AmericanAir thank you!  happy holidays!
54797,@131448 We are working diligently to address the issue and expect to avoid cancellations this holiday season.,@AmericanAir hello!  any updates on flights for xmas time? we would like to know so we can make other arrangements if we need to.
54987,@131498 Sorry for any confusion. We can double check your baggage allowance if you'd like. Just DM your record locator.,@AmericanAir You need to specify when you purchase your ticket if your bag will fly free! Specify that the AA Cardholder only will get a free bag! So frustrating!
54989,@131499 We're working hard to avoid cancellations. You can sign up for notifications here: https://t.co/h88H9iXqqT,@AmericanAir  When are you planning to publish a re-book policy or confirm flight canx due to your scheduling glitch.  @British_Airways  will not let me change my AA operated LHR-JFK flight until you do!
54992,"@131500 We've sent you a DM, Michael.","@AmericanAir can you check recent co-pay upgrade on PNR TSFYGO, showed up on CC in $ instead of KRW"
54994,@131501 Happy to have you on board Chris! #Enjoy,Thanks for the AAwesome upgrade @AmericanAir! https://t.co/YOf6DuauMH
54996,"@131501 Very nice coastline shot of the city, Chris! #AmericanView",@AmericanAir Thanks for the cool view of Chicago! https://t.co/BhuWzYaBOB
54998,"@131501 Yippee, we love providing a smooth and seamless travel experience!",@AmericanAir Many thanks to the team at ORD! Went through Global Entry and bags were on the conveyor within minutes. 😊
56377,@131871 We're doing everything we can to maintain flights. You can sign up for notifications here: https://t.co/h88H9iXqqT,"@AmericanAir Morning Guys, have you got an ETA on when you’re issuing the list of flights disrupted? I know I can get notifications, so please don’t send me a link. I just want to know when you’ll be issuing official information."
56379,@131871 We don't know when additional info will be provided.,"@AmericanAir As in my first message, I said I know I can get notifications, I’ve seen your other automated responses, but I wanted to know when you’ll be issuing official information? Do you have an expected date for this?"
56381,@131871 What's going on exactly? Meet us in DM with your record locator and more info.,"@AmericanAir Also, when do you expect this to be rectified? https://t.co/414U2T2VW7"
57730,"@132237 Sorry you're not having a great experience, Eddie.","The silver lining with flying @AmericanAir is it reminds me how much I love and prefer flying @Delta 
#perspective #wastedmiles"
57732,@132238 We're happy to help and can't wait to see you!,@AmericanAir Thank you for reasonably customer service and a very quick response to my concerns.  Looking forward to my next flight on AmericanAir!
57734,"@132238 We see our Reservations team assisted with rebooking, Henry. We're so sorry for the extra travel time.",@AmericanAir trying to get home flight 443 out of Raleigh NC.  Landing gear malfunction...  Sitting on full plane for 2 hours only to be deplaned and delayed.  Been at airport all day and still no progress towards home! https://t.co/TxTvF47WQY
58790,@132540 Sorry you're not comfy on board. We'll have you cooled off shortly.,Nothing like sweating like it’s middle of summer at 5:42am on an @AmericanAir plane! #getaclue #hotashell how about some A/C?! #dumb #AAsucks
58792,@132541 #Congrats Stephen. Enjoy it!,Life is good when you get a free upgrade to an exit row! Thanks @AmericanAir.
59761,@132773 We can look at a Same Day Flight Change via DM or you can see our airport team for standby.,"@AmericanAir I’m going to miss my flight, what are my options?!"
59763,@132774 They're quite #fAAbulous!,"A American renovou diversos lounges nos Estados Unidos. Apresentamos os novos lounges de Miami, Chicago e Los Angeles. Dá uma olhada como eles ficaram bonitos! @AmericanAir  https://t.co/XPTolbJp0P https://t.co/XCEC1dWchW"
59765,@132774 We're excited! See you on board soon.,@AmericanAir @AmericanAir Going back to AAdvantage guys. Aiming to regain my ExP in 2018! See you soon!
59767,@132775 It was a pleasure seeing you on board and we can't wait to see you again!,@AmericanAir got the job done today going @4274 through @127663 to @4275
60971,@133093 We always want to be consistent when it comes to your carry-on bag and we're sorry it had to be checked. We invite you to DM more details.,@AmericanAir i had to put my regulation carryon into 2 sizers before getting to the flight and it fit. Tell me please why when boarding the aircraft in an early group did they make me check my bag. I am insulted and upset. Dont give me a canned answer.
60977,@133095 It was a pleasure being your ride through the skies!,We are most grateful to our numerous supporters and @AmericanAir for flying us to South Korea! https://t.co/8FBMxgCPSe
60979,@133096 Our team is always happy to provide great service and help as much as we can. What's going that has you feeling otherwise?,"@AmericanAir I usually fly @SouthwestAir but SWA doesn't fly into FAY. Long story short, you will NEVER have my business again. SWA is more likely to create a flightplan in and out of FAY to help me than you would be to provide decent customer service. #AAlikestomakecustomerscry"
